"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"10";"100";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"R4, R6, R9, R10, R11, R16, R18, R21, R22, R23";"Resistor Fixed - Generic";"";
"2";"100k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"R2, R14";"Resistor Fixed - Generic";"";
"23";"100n";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C4, C5, C6, C7, C9, C13, C14, C15, C16, C18, C19, C20, C21, C22, C24, C25, C28, C29, C32, C33, C34, C36, C37";"Capacitor - Generic";"";
"3";"10n";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C1, C10, C41";"Capacitor - Generic";"";
"2";"160p";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C8, C17";"Capacitor - Generic";"";
"1";"1M";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"R32";"Resistor Fixed - Generic";"";
"7";"1k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"R3, R8, R12, R15, R20, R24, R30";"Resistor Fixed - Generic";"";
"2";"1p";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C2, C11";"Capacitor - Generic";"";
"5";"1u";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C26, C27, C35, C42, C44";"Capacitor - Generic";"";
"3";"2.2u";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C38, C39, C43";"Capacitor - Generic";"";
"4";"22";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"R25, R26, R29, R31";"Resistor Fixed - Generic";"";
"3";"22u";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C23, C30, C31";"Capacitor - Generic";"";
"2";"4.7k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"R27, R28";"Resistor Fixed - Generic";"";
"1";"4.7u";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C40";"Capacitor - Generic";"";
"2";"47";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"R7, R19";"Resistor Fixed - Generic";"";
"2";"50k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"R35, R36";"Resistor Fixed - Generic";"";
"2";"6.8p";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C3, C12";"Capacitor - Generic";"";
"2";"680";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"R5, R17";"Resistor Fixed - Generic";"";
"2";"680k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"R1, R13";"Resistor Fixed - Generic";"";
"2";"73137-5003";"73137-5003";"731375003";"J1, J2";"Molex BNC Series Right Angle 50 PCB Mount Bulkhead Fitting BNC Connector, jack, Nickel, Through Hole Termination";"";
"2";"87k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"R33, R34";"Resistor Fixed - Generic";"";
